datetime,Qin,Qout,H,r
2019/6/25 22:40,1.49,2.24,166.86,0
2019/6/25 22:50,1.49,2.23,166.86,0
2019/6/25 23:00,1.49,2.23,166.86,0
2019/6/25 23:10,1.49,2.24,166.86,0
2019/6/25 23:20,1.49,2.24,166.86,0
2019/6/25 23:30,1.51,2.24,166.85,0
2019/6/25 23:40,1.51,2.24,166.85,0
2019/6/25 23:50,1.51,2.23,166.85,0
2019/6/26 0:00,1.51,2.23,166.85,0
2019/6/26 0:10,1.51,2.23,166.85,0
2019/6/26 0:20,1.51,2.23,166.85,0
2019/6/26 0:30,1.51,2.24,166.85,0
2019/6/26 0:40,1.51,2.24,166.85,0
2019/6/26 0:50,1.51,2.24,166.85,0
2019/6/26 1:00,1.51,2.23,166.85,0
2019/6/26 1:10,1.51,2.24,166.85,0
2019/6/26 1:20,1.51,2.24,166.85,0
2019/6/26 1:30,1.51,2.24,166.85,0
2019/6/26 1:40,1.51,2.24,166.85,0
2019/6/26 1:50,1.51,2.23,166.85,0
2019/6/26 2:00,1.51,2.23,166.85,0
2019/6/26 2:10,1.51,2.24,166.85,0
2019/6/26 2:20,1.44,2.24,166.84,0
2019/6/26 2:30,1.44,1.91,166.84,0
2019/6/26 2:40,1.44,1.9,166.84,0
2019/6/26 2:50,1.44,1.91,166.84,1
2019/6/26 3:00,1.44,1.9,166.84,0
2019/6/26 3:10,1.44,1.9,166.84,0
2019/6/26 3:20,1.44,1.9,166.84,0
2019/6/26 3:30,1.44,1.9,166.84,0
2019/6/26 3:40,1.44,1.91,166.84,2
2019/6/26 3:50,1.44,1.9,166.84,1
2019/6/26 4:00,1.44,1.9,166.84,1
2019/6/26 4:10,1.44,1.9,166.84,0
2019/6/26 4:20,1.44,1.91,166.84,0
2019/6/26 4:30,1.44,1.9,166.84,0
2019/6/26 4:40,1.44,1.9,166.84,0
2019/6/26 4:50,1.44,1.9,166.84,0
2019/6/26 5:00,1.44,1.91,166.84,1
2019/6/26 5:10,1.44,1.91,166.84,1
2019/6/26 5:20,1.44,1.9,166.84,0
2019/6/26 5:30,1.44,1.91,166.84,1
2019/6/26 5:40,1.44,1.9,166.84,0
2019/6/26 5:50,1.44,1.91,166.84,1
2019/6/26 6:00,1.44,1.9,166.84,0
2019/6/26 6:10,1.44,1.9,166.84,0
2019/6/26 6:20,1.44,1.91,166.84,0
2019/6/26 6:30,1.44,1.9,166.84,0
2019/6/26 6:40,1.44,1.91,166.84,0
2019/6/26 6:50,1.44,1.91,166.84,0
2019/6/26 7:00,1.44,1.91,166.84,0
2019/6/26 7:10,1.44,1.9,166.84,0
2019/6/26 7:20,1.44,1.9,166.84,0
2019/6/26 7:30,1.44,1.91,166.84,0
2019/6/26 7:40,1.44,1.91,166.84,0
2019/6/26 7:50,1.44,1.91,166.84,0
2019/6/26 8:00,1.44,1.9,166.84,0
2019/6/26 8:10,1.44,1.91,166.84,0
2019/6/26 8:20,1.44,1.9,166.84,0
2019/6/26 8:30,1.44,1.9,166.84,0
2019/6/26 8:40,1.44,4.43,166.84,0
2019/6/26 8:50,1.44,4.43,166.84,0
